"Index Name","Date","Open","High","Low","Close"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","10 Jul 2024","-","-","-","8756.78"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","09 Jul 2024","-","-","-","8788.45"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","08 Jul 2024","-","-","-","8708.99"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","05 Jul 2024","-","-","-","8799.96"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","04 Jul 2024","-","-","-","8830.00"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","03 Jul 2024","-","-","-","8856.47"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","02 Jul 2024","-","-","-","8829.93"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","01 Jul 2024","-","-","-","8859.88"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","28 Jun 2024","-","-","-","8768.54"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","27 Jun 2024","-","-","-","8782.89"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","26 Jun 2024","-","-","-","8523.92"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","25 Jun 2024","-","-","-","8387.01"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","24 Jun 2024","-","-","-","8377.61"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","21 Jun 2024","-","-","-","8304.05"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","20 Jun 2024","-","-","-","8342.63"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","19 Jun 2024","-","-","-","8320.72"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","18 Jun 2024","-","-","-","8401.57"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","14 Jun 2024","-","-","-","8457.33"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","13 Jun 2024","-","-","-","8368.34"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","12 Jun 2024","-","-","-","8321.70"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","11 Jun 2024","-","-","-","8266.31"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","10 Jun 2024","-","-","-","8204.09"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","07 Jun 2024","-","-","-","8061.57"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","06 Jun 2024","-","-","-","7847.40"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","05 Jun 2024","-","-","-","7796.05"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","04 Jun 2024","-","-","-","7448.71"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","03 Jun 2024","-","-","-","8061.43"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","31 May 2024","-","-","-","7774.27"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","30 May 2024","-","-","-","7751.07"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","29 May 2024","-","-","-","7885.76"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","28 May 2024","-","-","-","7878.88"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","27 May 2024","-","-","-","7878.08"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","24 May 2024","-","-","-","7910.25"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","23 May 2024","-","-","-","7843.44"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","22 May 2024","-","-","-","7738.31"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","21 May 2024","-","-","-","7734.50"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","18 May 2024","-","-","-","7644.02"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","17 May 2024","-","-","-","7635.41"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","16 May 2024","-","-","-","7530.49"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","15 May 2024","-","-","-","7498.65"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","14 May 2024","-","-","-","7497.54"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","13 May 2024","-","-","-","7411.41"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","10 May 2024","-","-","-","7364.57"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","09 May 2024","-","-","-","7292.67"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","08 May 2024","-","-","-","7394.29"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","07 May 2024","-","-","-","7426.30"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","06 May 2024","-","-","-","7553.77"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","03 May 2024","-","-","-","7639.21"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","02 May 2024","-","-","-","7661.43"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","30 Apr 2024","-","-","-","7641.88"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","29 Apr 2024","-","-","-","7677.13"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","26 Apr 2024","-","-","-","7575.82"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","25 Apr 2024","-","-","-","7570.95"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","24 Apr 2024","-","-","-","7437.78"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","23 Apr 2024","-","-","-","7429.99"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","22 Apr 2024","-","-","-","7256.56"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","19 Apr 2024","-","-","-","7168.44"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","18 Apr 2024","-","-","-","7155.37"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","16 Apr 2024","-","-","-","7177.39"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","15 Apr 2024","-","-","-","7202.37"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","12 Apr 2024","-","-","-","7209.64"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","10 Apr 2024","-","-","-","7306.31"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","09 Apr 2024","-","-","-","7249.62"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","08 Apr 2024","-","-","-","7249.26"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","05 Apr 2024","-","-","-","7205.74"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","04 Apr 2024","-","-","-","7306.64"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","03 Apr 2024","-","-","-","7326.69"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","02 Apr 2024","-","-","-","7309.45"
"NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP","01 Apr 2024","-","-","-","7220.90"
