"Index Name","Date","Open","High","Low","Close"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","10 Jul 2024","-","-","-","18417.02"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","09 Jul 2024","-","-","-","18628.00"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","08 Jul 2024","-","-","-","18582.80"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","05 Jul 2024","-","-","-","18709.19"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","04 Jul 2024","-","-","-","18767.62"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","03 Jul 2024","-","-","-","18584.21"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","02 Jul 2024","-","-","-","18696.29"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","01 Jul 2024","-","-","-","18672.38"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","28 Jun 2024","-","-","-","18482.02"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","27 Jun 2024","-","-","-","18459.94"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","26 Jun 2024","-","-","-","18250.90"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","25 Jun 2024","-","-","-","18263.74"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","24 Jun 2024","-","-","-","18274.16"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","21 Jun 2024","-","-","-","18227.42"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","20 Jun 2024","-","-","-","18277.27"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","19 Jun 2024","-","-","-","18274.85"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","18 Jun 2024","-","-","-","18459.98"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","14 Jun 2024","-","-","-","18439.56"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","13 Jun 2024","-","-","-","18420.36"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","12 Jun 2024","-","-","-","18271.53"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","11 Jun 2024","-","-","-","18286.61"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","10 Jun 2024","-","-","-","18275.70"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","07 Jun 2024","-","-","-","18318.44"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","06 Jun 2024","-","-","-","17937.87"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","05 Jun 2024","-","-","-","17671.47"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","04 Jun 2024","-","-","-","17181.58"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","03 Jun 2024","-","-","-","17616.99"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","31 May 2024","-","-","-","17328.33"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","30 May 2024","-","-","-","17477.58"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","29 May 2024","-","-","-","17849.03"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","28 May 2024","-","-","-","17984.37"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","27 May 2024","-","-","-","18077.77"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","24 May 2024","-","-","-","18088.49"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","23 May 2024","-","-","-","18209.45"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","22 May 2024","-","-","-","17965.51"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","21 May 2024","-","-","-","17929.70"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","18 May 2024","-","-","-","17944.34"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","17 May 2024","-","-","-","17872.40"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","16 May 2024","-","-","-","17960.92"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","15 May 2024","-","-","-","17848.00"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","14 May 2024","-","-","-","17945.44"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","13 May 2024","-","-","-","17936.28"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP","10 May 2024","-","-","-","18017.08"
